City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,port elizabeth,-33.918,25.5701,71.89,83,75,10.36,ZA,1676068121
84,zhangye,38.9342,100.4517,28.78,38,38,5.91,CN,1676068122
85,isangel,-19.55,169.2667,86.11,79,100,18.41,VU,1676068122
86,qaanaaq,77.484,-69.3632,-17.66,55,5,1.61,GL,1676068122
87,acapulco,16.8634,-99.8901,85.82,58,0,11.5,MX,1676067997
88,atbasar,51.8,68.3333,-3.89,100,80,5.99,KZ,1676068123
89,broome,42.2506,-75.833,41.63,76,100,12.66,US,1676068124
90,atuona,-9.8,-139.0333,78.85,77,6,15.17,PF,1676068124
91,nsoko,-27.0333,31.95,69.66,94,100,7.25,SZ,1676068125
92,west bay,19.3667,-81.4167,84.07,75,40,12.66,KY,1676068125
93,mahebourg,-20.4081,57.7,80.26,73,40,6.91,MU,1676068126
94,omboue,-1.5746,9.2618,79.65,87,100,4.05,GA,1676068126
95,kavieng,-2.5744,150.7967,80.01,81,100,5.91,PG,1676068127
96,zinder,13.8072,8.9881,71.13,12,2,10.74,NE,1676068127
97,arraial do cabo,-22.9661,-42.0278,80.46,74,75,11.5,BR,1676068064
98,nishiwaki,34.9833,134.9667,43.99,78,97,4.21,JP,1676068128
99,ust-tsilma,65.441,52.1498,24.71,89,100,10.18,RU,1676068128
100,ossora,59.2353,163.0719,9.36,95,100,13.31,RU,1676068129
101,fukue,32.6881,128.8419,51.8,63,18,16.8,JP,1676068129
102,tura,25.5198,90.2201,58.26,65,0,3.02,IN,1676068129
103,san felipe,10.3399,-68.7425,73.96,85,82,7.67,VE,1676068130
104,staryy nadym,65.6118,72.6842,11.19,96,21,10.78,RU,1676068130
105,qui nhon,13.7667,109.2333,72.1,90,25,3.74,VN,1676068131
106,bastia,42.6667,9.3333,42.3,46,0,5.75,FR,1676068131
107,khandyga,62.6667,135.6,-54.08,100,73,1.77,RU,1676068132
108,eregli,37.5133,34.0467,16.79,86,87,2.26,TR,1676068132
109,roald,62.5833,6.1333,46.33,100,75,11.5,NO,1676068133
110,hamilton,39.1834,-84.5333,41.41,77,100,11.5,US,1676068077
111,yellowknife,62.456,-114.3525,0.55,85,20,10.36,CA,1676068074
112,dudinka,69.4058,86.1778,13.39,94,100,22.06,RU,1676068134
113,inhambane,-23.865,35.3833,78.78,90,100,8.19,MZ,1676068134
114,saint-philippe,-21.3585,55.7679,78.39,80,37,9.22,RE,1676068135
115,kruisfontein,-34.0033,24.7314,66.88,91,0,6.6,ZA,1676068136
116,chuy,-33.6971,-53.4616,78.1,71,0,10.09,UY,1676068137
117,rawson,-43.3002,-65.1023,85.35,26,5,14.76,AR,1676068138
118,utiel,39.5667,-1.2,33.66,93,7,4.16,ES,1676068138
119,college,64.8569,-147.8028,7.2,77,40,5.75,US,1676068139
120,ribeira grande,38.5167,-28.7,59.77,80,43,11.01,PT,1676068139
121,tiksi,71.6872,128.8694,-32.39,99,99,4.23,RU,1676068140
122,kamenka,51.3223,42.7678,16.61,94,73,12.08,RU,1676068140
123,kassala,15.451,36.4,74.34,58,3,8.39,SD,1676068141
124,codrington,-38.2667,141.9667,61.41,85,35,11.56,AU,1676068104
125,corralillo,22.9819,-80.5856,78.89,71,0,20.98,CU,1676068142
126,kloulklubed,7.0419,134.2556,81.28,72,100,12.75,PW,1676068143
127,bengkulu,-3.8004,102.2655,74.07,89,47,7.29,ID,1676068143
128,taoudenni,22.6783,-3.9836,72.57,14,98,23.87,ML,1676068144
129,george town,5.4112,100.3354,78.73,93,20,3.44,MY,1676067984
130,polson,47.6936,-114.1632,33.22,87,66,1.92,US,1676068145
131,morondava,-20.2833,44.2833,78.03,81,99,3.44,MG,1676068145
132,thompson,55.7435,-97.8558,19.56,73,100,3.44,CA,1676068000
133,tiarei,-17.5333,-149.3333,87.82,75,20,11.39,PF,1676068146
134,van,38.4924,43.3831,13.35,73,20,2.3,TR,1676068147
135,bria,6.5423,21.9863,76.93,19,0,3.58,CF,1676068147
136,longyearbyen,78.2186,15.6401,19.24,86,75,12.66,SJ,1676068148
137,port lincoln,-34.7333,135.8667,64.94,74,74,15.59,AU,1676067907
138,pevek,69.7008,170.3133,-25.87,94,100,5.91,RU,1676068149
139,hami,42.8,93.45,30.02,49,99,6.71,CN,1676068034
140,huarmey,-10.0681,-78.1522,75.43,78,47,8.63,PE,1676067904
141,iqaluit,63.7506,-68.5145,-29.31,66,20,11.5,CA,1676068150
142,ha tinh,18.3333,105.9,69.26,96,21,1.1,VN,1676068150
143,pathein,16.7833,94.7333,67.44,78,6,7.0,MM,1676068151
144,buluang,13.3068,123.3425,71.92,93,44,3.13,PH,1676068151
145,lazaro cardenas,17.9583,-102.2,84.0,53,0,11.59,MX,1676068151
146,puerto ayora,-0.7393,-90.3518,84.16,88,92,7.0,EC,1676068152
147,kedrovyy,56.1667,91.8167,-21.59,100,53,3.24,RU,1676068153
148,sur,22.5667,59.5289,69.98,69,0,10.09,OM,1676068153
149,neiafu,-18.65,-173.9833,81.28,83,75,2.3,TO,1676068154
150,saldanha,-33.0117,17.9442,67.95,77,0,5.55,ZA,1676068154
151,khatanga,71.9667,102.5,-29.25,90,40,8.93,RU,1676067865
152,bonthe,7.5264,-12.505,77.13,79,7,6.29,SL,1676068155
153,luena,-11.7833,19.9167,65.57,87,81,3.31,AO,1676068155
154,souillac,-20.5167,57.5167,79.18,73,40,6.91,MU,1676068156
155,ulagan,50.6321,87.9563,2.75,99,100,1.07,RU,1676068156
156,maldonado,-34.6667,-54.9167,85.39,48,0,9.86,UY,1676068107
157,haines junction,60.7522,-137.5108,8.55,66,100,3.44,CA,1676068157
158,bethel,41.3712,-73.414,50.9,53,0,17.27,US,1676068047
159,kismayo,-0.3582,42.5454,76.86,84,47,16.24,SO,1676068158
160,erenhot,43.6475,111.9767,23.29,63,67,6.55,CN,1676068159
161,limbang,4.75,115.0,75.31,97,95,1.68,MY,1676068159
162,fortuna,40.5982,-124.1573,48.65,96,40,9.22,US,1676068160
163,farmington,36.7281,-108.2187,43.48,22,0,5.99,US,1676068161
164,mount isa,-20.7333,139.5,82.17,44,78,8.05,AU,1676068161
165,mahenge,-8.6833,36.7167,64.27,97,100,1.16,TZ,1676068162
166,vao,-22.6667,167.4833,79.66,86,100,34.27,NC,1676068162
167,bredasdorp,-34.5322,20.0403,69.06,79,0,10.4,ZA,1676068163
168,todos santos,23.45,-110.2167,79.3,66,80,4.79,MX,1676068111
169,plettenberg bay,-34.0527,23.3716,67.62,79,0,7.56,ZA,1676068154
170,green river,41.5286,-109.4662,28.8,61,1,1.99,US,1676068164
171,mednogorsk,51.4128,57.595,0.72,100,99,3.83,RU,1676068165
172,yeppoon,-23.1333,150.7333,80.38,70,6,4.09,AU,1676068165
173,east london,-33.0153,27.9116,71.6,83,100,7.83,ZA,1676068166
174,mitsamiouli,-11.3847,43.2844,81.36,80,100,7.14,KM,1676068166
175,airai,-8.9266,125.4092,60.35,94,94,3.0,TL,1676068079
176,talcahuano,-36.7167,-73.1167,71.28,53,0,19.57,CL,1676068167
177,wichita falls,33.9137,-98.4934,47.25,36,40,14.97,US,1676068154
178,cabo san lucas,22.8909,-109.9124,85.3,34,20,6.91,MX,1676068072
179,dikson,73.5069,80.5464,9.64,93,100,14.88,RU,1676068168
180,gambiran,-6.7988,111.4951,74.79,90,100,0.31,ID,1676068168
181,awjilah,29.1081,21.2869,54.12,61,21,9.08,LY,1676068169
182,balkanabat,39.5108,54.3671,31.24,56,16,5.06,TM,1676068169
183,fuerte olimpo,-21.0415,-57.8738,79.14,85,93,4.56,PY,1676068170
184,te anau,-45.4167,167.7167,58.33,63,19,1.36,NZ,1676068170
185,zhezkazgan,47.8043,67.7144,10.58,96,100,7.56,KZ,1676068171
186,port macquarie,-31.4333,152.9167,71.69,74,6,4.41,AU,1676068172
187,roxana,10.2753,-83.7513,85.03,93,41,3.58,CR,1676068172
188,laguna,38.421,-121.4238,65.05,57,0,10.36,US,1676067951
189,nikolskoye,59.7035,30.7861,28.8,81,57,13.56,RU,1676068052
190,svetlogorsk,52.6333,29.7333,25.39,91,80,8.86,BY,1676068173
191,faya,18.3851,42.4509,55.92,64,6,3.22,SA,1676068173
192,minsk,53.9,27.5667,26.35,88,66,14.05,BY,1676068174
193,lake charles,30.2131,-93.2044,68.02,46,0,6.91,US,1676068175
194,kimbe,-5.5502,150.1429,76.46,94,100,2.04,PG,1676068175
195,necochea,-38.5473,-58.7368,88.36,40,13,15.41,AR,1676068175
196,rio claro,-22.4114,-47.5614,71.87,88,99,3.96,BR,1676068065
197,karratha,-20.7377,116.8463,84.16,71,50,13.76,AU,1676068059
198,sitio novo do tocantins,-5.5183,-47.4611,85.93,62,40,5.75,BR,1676068176
199,mount gambier,-37.8333,140.7667,64.22,72,100,11.23,AU,1676068177
200,garmsar,35.2182,52.3409,35.65,41,1,6.93,IR,1676068178
201,ust-nera,64.5667,143.2,-37.98,96,98,2.82,RU,1676068178
202,moranbah,-22.0016,148.0466,78.87,54,53,2.26,AU,1676068179
203,soyo,-6.1349,12.3689,79.59,79,21,6.4,AO,1676068179
204,asilah,35.465,-6.0348,55.36,63,100,21.94,MA,1676068094
205,dingle,10.9995,122.6711,73.47,94,56,7.18,PH,1676068180
206,paamiut,61.994,-49.6678,3.25,87,86,9.35,GL,1676068180
207,bardiyah,31.7561,25.0865,55.29,68,67,8.46,LY,1676068181
208,guerrero negro,27.9769,-114.0611,75.0,17,100,5.46,MX,1676068182
209,biel,47.1324,7.2441,33.73,86,84,2.3,CH,1676068182
210,husavik,66.0449,-17.3389,34.27,82,73,14.5,IS,1676068183
211,paciran,-6.8767,112.3761,77.41,87,98,8.05,ID,1676068183
212,santiago del estero,-27.7951,-64.2615,100.17,24,0,10.71,AR,1676068184
213,komsomolskiy,40.4272,71.7189,29.12,74,75,4.61,UZ,1676068184
214,atar,20.5169,-13.0499,66.0,58,39,4.05,MR,1676068185
215,port hardy,50.6996,-127.4199,44.78,93,100,5.75,CA,1676068185
216,taltal,-25.4,-70.4833,71.62,71,24,2.91,CL,1676068186
217,la rioja,42.25,-2.5,22.78,59,0,5.59,ES,1676068186
218,sesheke,-17.4759,24.2968,67.8,72,45,3.49,ZM,1676068187
219,georgetown,5.4112,100.3354,78.73,93,20,3.44,MY,1676068110
220,waipawa,-41.4122,175.5153,64.42,58,79,8.93,NZ,1676068187
221,tupik,54.4253,119.9327,-23.87,100,100,1.52,RU,1676068188
222,arroyo,41.6096,-4.7969,41.11,59,0,11.5,ES,1676068189
223,carnarvon,-24.8667,113.6333,75.13,68,8,22.62,AU,1676068152
224,dakar,14.6937,-17.4441,68.88,85,93,20.92,SN,1676067908
225,rio tercero,-32.173,-64.1141,89.8,22,0,5.86,AR,1676067906
226,alanya,36.5438,31.9998,41.13,43,0,8.63,TR,1676068110
227,sao gabriel da cachoeira,-0.1303,-67.0892,77.92,94,82,0.72,BR,1676068190
228,severo-kurilsk,50.6789,156.125,21.27,79,97,26.93,RU,1676068190
229,ca mau,9.1769,105.15,71.65,96,77,3.85,VN,1676068191
230,vostok,46.4856,135.8833,6.15,98,98,3.51,RU,1676068191
231,kodiak,57.79,-152.4072,33.31,100,100,4.61,US,1676068021
232,fort nelson,58.8053,-122.7002,20.95,74,75,4.0,CA,1676068192
233,nanortalik,60.1432,-45.2371,20.37,63,100,20.96,GL,1676068087
234,marzuq,14.4,46.4667,63.81,66,1,3.36,YE,1676068192
235,ahuimanu,21.4447,-157.8378,82.11,64,40,28.77,US,1676068193
236,saskylakh,71.9167,114.0833,-44.91,98,53,7.61,RU,1676068194
237,grand gaube,-20.0064,57.6608,80.38,74,3,5.99,MU,1676068194
238,vila,42.0304,-8.1588,38.28,61,0,5.53,PT,1676068194
239,novo aripuana,-5.1206,-60.3797,76.95,95,54,3.04,BR,1676068195
240,chokurdakh,70.6333,147.9167,-52.31,100,74,4.63,RU,1676068195
241,sistranda,63.7256,8.834,30.16,91,100,11.05,NO,1676068196
242,orlik,52.5178,99.825,-21.64,98,56,1.97,RU,1676068196
243,klaksvik,62.2266,-6.589,45.52,81,100,33.08,FO,1676068197
